area_type,availability,size,site_location,society,total_sqft,bath,balcony,price
Built-up  Area,Ready To Move,2 BHK,Baner,Viowsen,1280,2,2,68.48
Super built-up  Area,19-Mar,2 BHK,Baner road,Bhe 2ko,1245,2,1,83.05
Super built-up  Area,Ready To Move,2 BHK,Bhandarkar Road,,1027,1,2,44
Built-up  Area,Ready To Move,2 BHK,Bhavani Peth,,1200,2,,46.17
Super built-up  Area,21-Dec,3 BHK,Bibvewadi,PrarePa,1100,3,2,58
Plot  Area,Ready To Move,3 Bedroom,Bopodi,,1065,3,1,72
Super built-up  Area,21-Dec,3 BHK,Budhwar Peth,Sonue A,1814,3,1,129
Super built-up  Area,Ready To Move,3 BHK,Bund Garden Road,DNeremo,1610,2,1,112
Built-up  Area,Ready To Move,1 Bedroom,Camp,,850,1,1,78
Super built-up  Area,18-Jul,3 BHK,Chandan Nagar,Oca 2 V,1600,3,3,79
Super built-up  Area,Ready To Move,3 BHK,Dapodi,,3200,4,2,140
Built-up  Area,Ready To Move,3 BHK,Deccan Gymkhana,,1250,2,1,77.13
Super built-up  Area,Ready To Move,2 BHK,Dehu Road,,1243,2,2,46
Super built-up  Area,Ready To Move,3 BHK,Dhankawadi,JRrnauv,1452,3,3,60.98
Super built-up  Area,Ready To Move,3 BHK,Dhayari Phata,Naory G,1475,3,3,75
Super built-up  Area,Ready To Move,2 BHK,Dhole Patil Road,SJityVe,1353,2,3,75
Carpet  Area,Ready To Move,4 Bedroom,Erandwane,,2100,3,0,210
Super built-up  Area,21-Aug,3 BHK,Fatima Nagar,,1750,3,2,58
Plot  Area,Ready To Move,4 Bedroom,Fergusson College Road,Pronege,4800,4,3,550
Built-up  Area,Ready To Move,2 BHK,Ganesh Peth,Rauil T,1270,2,1,96
Built-up  Area,Ready To Move,4 Bedroom,Ganeshkhind,,2700,3,0,75
Plot  Area,Ready To Move,4 Bedroom,Ghorpade Peth,,1200,4,2,270
Built-up  Area,19-May,4 BHK,Ghorpadi,G conTh,2695,4,3,188
Super built-up  Area,Ready To Move,3 BHK,Gokhale Nagar,StwarSi,1330,3,2,65
Built-up  Area,Ready To Move,2 BHK,Gultekdi,,660,1,0,18
Super built-up  Area,Ready To Move,2 BHK,Guruwar peth,Catle C,1400,2,3,90
Built-up  Area,Ready To Move,4 BHK,Hadapsar,,4000,5,1,195
Super built-up  Area,Ready To Move,3 BHK,Hadapsar Industrial Estate,PuandHi,1700,3,2,75
Built-up  Area,Ready To Move,2 BHK,Hingne Khurd,Bhensa ,1585,2,2,90
Super built-up  Area,Ready To Move,3 BHK,Jangali Maharaj Road,,1385,3,3,67
Super built-up  Area,18-Jul,2 BHK,Kalyani Nagar,Prarkun,1128,2,1,67
Plot  Area,19-Oct,4 Bedroom,Karve Nagar,NVaree ,60,4,2,218
Plot  Area,18-Apr,18 Bedroom,Karve Road,HMwerCo,1200,18,,200
Super built-up  Area,Ready To Move,2 BHK,Kasba Peth,VaiewV ,1203,2,2,60
Super built-up  Area,Ready To Move,2 BHK,Katraj,Shbhi S,905,2,1,35
Super built-up  Area,19-Mar,3 BHK,Khadaki,Orens G,1450,3,2,79
Super built-up  Area,Ready To Move,2 BHK,Khadki,MKllei ,1105,2,3,38
Plot  Area,18-Apr,2 Bedroom,Kharadi,,1200,2,1,46.13
Super built-up  Area,Ready To Move,3 BHK,Kondhwa,Vanami ,1530,2,3,89
Super built-up  Area,Ready To Move,2 BHK,Kondhwa Budruk,SMuilan,1105,2,1,35.4
Super built-up  Area,18-Jul,2 BHK,Kondhwa Khurd,KSliaor,1333,2,1,78.56
Built-up  Area,17-Sep,2 BHK,Koregaon Park,,1065,2,2,45
Plot  Area,Immediate Possession,,Kothrud,AVeldun,1350,,,8.44
Super built-up  Area,Ready To Move,2 BHK,Law College Road,,1243,2,2,46
Super built-up  Area,18-Dec,3 BHK,Laxmi Road,Saesttt,1530,3,2,76.34
Plot  Area,Ready To Move,2 Bedroom,Lulla Nagar,,1200,2,1,65
Super built-up  Area,Ready To Move,2 BHK,Mahatma Gandhi Road,BrlisCo,1270,2,1,94
Super built-up  Area,Ready To Move,3 BHK,Mangalwar peth,OriewLa,1830,3,3,89
Super built-up  Area,Ready To Move,2 BHK,Manik Bagh,,900,2,3,35
Plot  Area,Ready To Move,4 Bedroom,Market yard,AGoutLa,2400,2,2,250
Plot  Area,Ready To Move,6 Bedroom,Model colony,,7000,6,2,560
Super built-up  Area,Ready To Move,3 BHK,Mukund Nagar,SNity S,1450,2,2,78
Super built-up  Area,Ready To Move,3 BHK,Mundhawa,,1525,3,3,65
Built-up  Area,Ready To Move,2 BHK,Nagar Road,,1080,2,1,67
Built-up  Area,Ready To Move,2 BHK,Nana Peth,,1220,2,2,72
Super built-up  Area,Ready To Move,2 BHK,Narayan Peth,Dhalsh ,1200,2,2,44.4
Super built-up  Area,Ready To Move,2 BHK,Narayangaon,SNeur G,1215 - 1495,2,0,73.17
Plot  Area,Ready To Move,3 Bedroom,Navi Peth,,2400,3,0,348
Super built-up  Area,Ready To Move,2 BHK,Padmavati,,1500,2,2,60
Built-up  Area,Ready To Move,2 BHK,Parvati Darshan,,1355,2,2,95
Built-up  Area,17-Jul,2 BHK,Pashan,GMown E,1070,2,1,57
Super built-up  Area,Ready To Move,3 BHK,Paud Road,Pu270a ,1980,4,1,180
Super built-up  Area,Ready To Move,2 BHK,Pirangut,Niara S,842,2,2,30
Super built-up  Area,Ready To Move,1 BHK,Prabhat Road,Baanise,700,1,1,31.2
Built-up  Area,Ready To Move,3 BHK,Pune Railway Station,,2500,4,,65
Built-up  Area,Ready To Move,3 Bedroom,Rasta Peth,,1884,3,2,95
Built-up  Area,Ready To Move,2 BHK,Raviwar Peth,Chntsat,1100,2,2,75
Super built-up  Area,Ready To Move,2 BHK,Sadashiv Peth,GrrvaGr,1196,2,2,40.54
Super built-up  Area,Ready To Move,3 BHK,Sahakar Nagar,PrityTr,1820,3,2,85
Plot  Area,Ready To Move,8 Bedroom,Salunke Vihar,,1200,8,,145
Super built-up  Area,Ready To Move,2 BHK,Sasson Road,MenueNo,1185,2,2,43.5
Super built-up  Area,Ready To Move,3 BHK,Satara Road,,2145,3,2,170
Super built-up  Area,Ready To Move,2 BHK,Senapati Bapat Road,Priew P,1220,2,1,89
Super built-up  Area,Ready To Move,2 BHK,Shaniwar Peth,Sonviik,1116,2,3,51.91
Super built-up  Area,Ready To Move,2 BHK,Shivaji Nagar,HMinebo,1192,2,3,75
Super built-up  Area,Ready To Move,3 BHK,Shukrawar Peth,NCenega,1449,3,2,110
Plot  Area,Ready To Move,3 Bedroom,Sinhagad Road,Somus A,2500,3,1,250
Built-up  Area,Ready To Move,3 BHK,Somwar Peth,BrnoxEq,1700,3,2,90
Super built-up  Area,18-Aug,3 BHK,Swargate,Mahosya,1920,3,2,150
Plot  Area,Ready To Move,2 Bedroom,Tilak Road,,1350,2,0,90
Plot  Area,Ready To Move,4 Bedroom,Uruli Devachi,,4800,5,2,350
Built-up  Area,Ready To Move,3 BHK,Vadgaon Budruk,,1700,3,2,74
Super built-up  Area,19-Dec,2 BHK,Wadgaon Sheri,Hahtsde,1447,3,2,76
Super built-up  Area,19-Jul,2 BHK,Viman Nagar,Soazak ,1329,2,1,107
Built-up  Area,Ready To Move,3 BHK,Vishrant Wadi,Esatea ,1314,2,2,70.44
Plot  Area,Ready To Move,3 Bedroom,Wagholi,,1200,3,2,110
Plot  Area,Ready To Move,6 Bedroom,Wakadewadi,,1214,3,0,220
Super built-up  Area,19-Mar,3 BHK,Wanowrie,Sosisic,1513,3,1,103
Plot  Area,Ready To Move,3 Bedroom,Warje,,6Acres,2,0,80
Super built-up  Area,Ready To Move,2 BHK,Yerawada,Prlla C,1246,2,1,67.5
Super built-up  Area,Ready To Move,1 BHK,Alandi Road,,705,1,1,65
Super built-up  Area,Ready To Move,2 BHK,Ambegaon Budruk,Syonyph,1220,2,2,62
Super built-up  Area,Ready To Move,3 BHK,Anandnagar,,1800,2,1,45
Super built-up  Area,Ready To Move,3 BHK,Aundh,,1400,3,2,75
Super built-up  Area,Ready To Move,2 BHK,Aundh Road,Bhensa ,1245,2,2,80
Super built-up  Area,Ready To Move,3 BHK,Balaji Nagar,GKiewke,1495,2,1,63
Plot  Area,Ready To Move,3 Bedroom,Baner,,2000,2,2,275
Built-up  Area,Ready To Move,2 BHK,Baner road,Mauner ,996,2,2,36.5
Built-up  Area,Ready To Move,2 BHK,Bhandarkar Road,,1000,2,1,44
Built-up  Area,Ready To Move,2 BHK,Bhavani Peth,SuntsAp,1250,2,3,75
Super built-up  Area,18-Aug,2 BHK,Bibvewadi,SunceEs,975,2,1,24.86
Super built-up  Area,Ready To Move,3 BHK,Bopodi,Pronyt ,1261,2,1,80
Built-up  Area,Ready To Move,2 BHK,Budhwar Peth,Raenti ,1080,2,2,46
Super built-up  Area,Ready To Move,2 BHK,Bund Garden Road,HoDewy ,1230,2,1,50
Super built-up  Area,18-Mar,2 BHK,Camp,,982,2,2,25.53
Super built-up  Area,18-May,3 BHK,Chandan Nagar,SSestth,1260,3,1,49.36
Super built-up  Area,Ready To Move,3 BHK,Dapodi,PuontFa,1590,2,2,135
Super built-up  Area,Ready To Move,2 BHK,Deccan Gymkhana,Suise S,1220,2,2,39
Super built-up  Area,18-May,3 BHK,Dehu Road,Sryalan,1320,2,1,38.12
Super built-up  Area,Ready To Move,3 BHK,Dhankawadi,Solia D,1750,3,2,105
Super built-up  Area,Ready To Move,3 BHK,Dhayari Phata,Iseenst,1436,2,3,62.15
Plot  Area,18-Apr,3 Bedroom,Dhole Patil Road,,1200,2,0,66
Super built-up  Area,Ready To Move,2 BHK,Erandwane,Rintspa,1500,2,,140
Super built-up  Area,Ready To Move,3 BHK,Fatima Nagar,Caiseur,1560,3,2,90
Super built-up  Area,19-Jan,3 BHK,Fergusson College Road,,3758,3,1,300
Super built-up  Area,Ready To Move,2 BHK,Ganesh Peth,Indanrt,1275,2,2,59
Super built-up  Area,Ready To Move,2 BHK,Ganeshkhind,,1040,2,2,36.4
Super built-up  Area,Ready To Move,3 BHK,Ghorpade Peth,BhreeBa,2400,3,2,115
Plot  Area,Ready To Move,6 Bedroom,Ghorpadi,,1500,9,3,230
Plot  Area,18-May,4 Bedroom,Gokhale Nagar,AxvamTa,3150,5,1,212
Super built-up  Area,Ready To Move,3 BHK,Gultekdi,CoinoCu,1960,3,2,165
Super built-up  Area,Ready To Move,4 BHK,Guruwar peth,Brnumnn,3200,5,3,309
Super built-up  Area,Ready To Move,2 BHK,Hadapsar,Vatra N,1195,2,2,100
Super built-up  Area,Ready To Move,2 BHK,Hadapsar Industrial Estate,Neite T,1140 - 1250,2,0,53.105
Super built-up  Area,Ready To Move,5 BHK,Hingne Khurd,,4500,5,2,145
Plot  Area,Ready To Move,3 Bedroom,Jangali Maharaj Road,,450,3,1,70
Plot  Area,18-Apr,4 Bedroom,Kalyani Nagar,Prowshi,4304,4,2,699
Super built-up  Area,18-Jun,1 BHK,Karve Nagar,,648,1,1,40
Super built-up  Area,Ready To Move,3 BHK,Karve Road,Supleon,2100,3,2,130
Super built-up  Area,19-Dec,4 BHK,Kasba Peth,,4209,4,2,602
Super built-up  Area,Ready To Move,2 BHK,Katraj,Srrnasa,1027,2,1,44
Plot  Area,Ready To Move,4 Bedroom,Khadaki,Leuseut,1575,4,3,250
Super built-up  Area,18-May,3 BHK,Khadki,SSestth,1365,3,1,52.82
Super built-up  Area,Ready To Move,1 BHK,Kharadi,KHatsFl,650,1,1,18
Plot  Area,18-Nov,3 Bedroom,Kondhwa,,1200,2,1,52
Super built-up  Area,Ready To Move,2 BHK,Kondhwa Budruk,,1100,2,3,90
Built-up  Area,Ready To Move,3 BHK,Kondhwa Khurd,LencyRe,1075,2,1,57
Super built-up  Area,Ready To Move,2 BHK,Koregaon Park,SuentAp,1100,2,1,63
Super built-up  Area,Ready To Move,3 BHK,Kothrud,,1320,2,1,58
Super built-up  Area,Ready To Move,3 BHK,Law College Road,Daden G,1500,3,2,65
Plot  Area,Ready To Move,4 Bedroom,Laxmi Road,,1200,5,1,150
Plot  Area,Ready To Move,4 Bedroom,Lulla Nagar,,1125,3,2,126
Super built-up  Area,Ready To Move,2 BHK,Mahatma Gandhi Road,Prlla C,1246,2,1,67.5
Super built-up  Area,18-Apr,3 BHK,Mangalwar peth,Rosha I,1718,3,2,90.2
Super built-up  Area,Ready To Move,3 BHK,Manik Bagh,Prityel,1075,2,1,32
Super built-up  Area,18-Oct,3 BHK,Market yard,,1480,3,1,75.48
Super built-up  Area,Ready To Move,1 BHK,Model colony,,500,1,1,13
Plot  Area,Ready To Move,5 Bedroom,Mukund Nagar,,2400,4,1,325
Plot  Area,18-May,4 Bedroom,Mundhawa,,1200,4,2,125
Super built-up  Area,Ready To Move,2 BHK,Nagar Road,,1041,2,1,36.44
Super built-up  Area,Ready To Move,2 BHK,Nana Peth,,1128,2,2,48.4
Super built-up  Area,Ready To Move,3 BHK,Narayan Peth,Kelmsoy,1685,3,1,90
Super built-up  Area,Ready To Move,2 BHK,Narayangaon,KSidems,1180,2,2,65
Built-up  Area,Ready To Move,2 BHK,Navi Peth,BadorSp,1200,2,1,60
Super built-up  Area,18-Apr,3 BHK,Padmavati,,1250,3,2,39.5
Super built-up  Area,21-Dec,2 BHK,Parvati Darshan,PrarePa,900,2,1,41
Built-up  Area,Ready To Move,2 BHK,Pashan,BhisePa,1000,2,1,45
Built-up  Area,Ready To Move,2 Bedroom,Paud Road,,600,2,2,80
Plot  Area,Ready To Move,4 Bedroom,Pirangut,,600,3,2,82
Super built-up  Area,Ready To Move,2 BHK,Prabhat Road,Prlla C,1404,2,1,70
Super built-up  Area,Ready To Move,3 BHK,Pune Railway Station,DNeremo,1610,2,2,115
Super built-up  Area,18-Jul,2 BHK,Rasta Peth,Unris E,1760,2,1,85
Super built-up  Area,Ready To Move,2 BHK,Raviwar Peth,,975,2,1,55
Built-up  Area,Ready To Move,2 BHK,Sadashiv Peth,Adarkya,1190,2,2,42
Built-up  Area,Ready To Move,2 BHK,Sahakar Nagar,,1110,2,1,46
Super built-up  Area,Ready To Move,3 BHK,Salunke Vihar,PhestOn,2415,3,2,399
Super built-up  Area,18-May,2 BHK,Sasson Road,BMineis,1235,2,2,44.5
Super built-up  Area,Ready To Move,2 BHK,Satara Road,TNnumla,1275,2,3,55
Built-up  Area,Ready To Move,2 BHK,Senapati Bapat Road,,1115,2,1,115
Super built-up  Area,Ready To Move,2 BHK,Shaniwar Peth,Prncyrn,1197,2,1,76
Super built-up  Area,20-Dec,1 BHK,Shivaji Nagar,Pruthg ,644,1,1,32
Super built-up  Area,Ready To Move,2 BHK,Shukrawar Peth,,1251,2,3,47
Super built-up  Area,18-Apr,2 BHK,Sinhagad Road,SKisyDa,1105,2,2,30
Super built-up  Area,18-Aug,2 BHK,Somwar Peth,,1080,2,2,38
Super built-up  Area,Ready To Move,4 BHK,Swargate,,2100,3,1,114
Plot  Area,Ready To Move,4 Bedroom,Tilak Road,,1600,4,1,200
Super built-up  Area,Ready To Move,3 BHK,Uruli Devachi,,1731,3,3,64.11
Super built-up  Area,Ready To Move,2 BHK,Vadgaon Budruk,ARaveSa,1206,2,1,55
Super built-up  Area,Ready To Move,3 BHK,Wadgaon Sheri,MJiyayl,1560,3,2,78
Super built-up  Area,Ready To Move,1 BHK,Viman Nagar,Brnia G,750,1,2,47
Built-up  Area,Ready To Move,2 BHK,Vishrant Wadi,Chuti S,1035,2,2,90
Plot  Area,Ready To Move,7 Bedroom,Wagholi,,1200,6,2,150
Super built-up  Area,Ready To Move,1 BHK,Wakadewadi,SJityaz,702,1,0,35.8
Plot  Area,Ready To Move,3 Bedroom,Wanowrie,,1700,3,1,65
Super built-up  Area,Ready To Move,2 BHK,Warje,,1145,2,2,68.5
Super built-up  Area,Ready To Move,3 BHK,Yerawada,,1208,2,2,43.5
Super built-up  Area,Ready To Move,3 BHK,Alandi Road,,1589,3,2,74
Built-up  Area,Ready To Move,2 BHK,Ambegaon Budruk,Jaensa ,560,2,1,22
Super built-up  Area,Ready To Move,3 BHK,Anandnagar,SLhidOr,1426,2,2,61.5
Super built-up  Area,Ready To Move,3 BHK,Aundh,Sortz Q,1885,3,2,135
Super built-up  Area,18-Mar,2 BHK,Aundh Road,SheldGr,935,2,0,37.77
Super built-up  Area,18-Apr,2 BHK,Balaji Nagar,Saesttt,1171,2,2,73
Super built-up  Area,Ready To Move,2 BHK,Baner,,1465,2,3,60
Super built-up  Area,Ready To Move,3 BHK,Baner road,PrityTr,1820,3,2,95
Super built-up  Area,Ready To Move,3 BHK,Bhandarkar Road,GrrvaGr,1580,2,2,66.85
Super built-up  Area,Ready To Move,3 BHK,Bhavani Peth,SMuilan,1452,2,2,46.29
Super built-up  Area,Ready To Move,3 BHK,Bibvewadi,Mileeou,1445,2,1,89.56
Super built-up  Area,Ready To Move,2 BHK,Bopodi,Meines ,1170,2,1,39
Super built-up  Area,Ready To Move,2 BHK,Budhwar Peth,,1070,2,1,50
Super built-up  Area,21-Dec,3 BHK,Bund Garden Road,PrarePa,1100,3,2,53
Super built-up  Area,18-Mar,2 BHK,Camp,,1140,2,2,56
Built-up  Area,Ready To Move,3 BHK,Chandan Nagar,NRniad ,2600,3,2,160
Super built-up  Area,Ready To Move,3 BHK,Dapodi,ALtonea,1532,3,2,59.75
Super built-up  Area,Ready To Move,2 BHK,Deccan Gymkhana,,1150,2,1,46
Super built-up  Area,Ready To Move,2 BHK,Dehu Road,HRaniIb,1473,2,1,85
Super built-up  Area,Ready To Move,3 BHK,Dhankawadi,Prone M,1350,3,2,80.99
Super built-up  Area,Ready To Move,4 BHK,Dhayari Phata,Prigh L,4040,4,0,500
Super built-up  Area,18-Jan,3 BHK,Dhole Patil Road,Pu270a ,1980,4,2,166
Super built-up  Area,22-Jun,3 BHK,Erandwane,GoAirej,1660,3,2,128
Plot  Area,Ready To Move,7 Bedroom,Fatima Nagar,,2456,7,2,85
Super built-up  Area,Ready To Move,2 BHK,Fergusson College Road,,650,2,2,45
Plot  Area,Ready To Move,5 Bedroom,Ganesh Peth,Coleyli,4000,5,2,425
Super built-up  Area,Ready To Move,3 BHK,Ganeshkhind,Sariaat,2475,4,3,340
Super built-up  Area,Ready To Move,3 BHK,Ghorpade Peth,,1495,3,2,90
Super built-up  Area,Ready To Move,2 BHK,Ghorpadi,Esncyth,1080,2,1,48
Super built-up  Area,Ready To Move,3 BHK,Gokhale Nagar,Elodsre,1521,2,2,57.5
Built-up  Area,Ready To Move,2 BHK,Gultekdi,GRvasth,1053,2,0,51
Super built-up  Area,18-Mar,3 BHK,Guruwar peth,Shestlo,2406,5,2,289
Plot  Area,Ready To Move,4 Bedroom,Hadapsar,,800,5,3,115
Super built-up  Area,Ready To Move,2 BHK,Hadapsar Industrial Estate,,1050,2,1,42
Super built-up  Area,Ready To Move,3 BHK,Hingne Khurd,MenueNo,1430,2,2,51.48
Built-up  Area,Ready To Move,3 BHK,Jangali Maharaj Road,SrSaira,2400,3,2,12
Super built-up  Area,18-Apr,3 BHK,Kalyani Nagar,,1250,3,2,39
Plot  Area,Ready To Move,4 Bedroom,Karve Nagar,,1200,2,1,75
Built-up  Area,Ready To Move,1 Bedroom,Karve Road,,840,1,1,150
Super built-up  Area,Ready To Move,2 BHK,Kasba Peth,SBiewid,1000,2,2,39.5
Super built-up  Area,Ready To Move,3 BHK,Katraj,Guranya,1630,3,3,68
Super built-up  Area,Ready To Move,2 BHK,Khadaki,Pre 1ri,985,2,1,40.5
Super built-up  Area,Ready To Move,2 BHK,Khadki,Chaldi ,1200,2,2,70
Built-up  Area,Ready To Move,3 BHK,Kharadi,,1650,3,3,100
Super built-up  Area,Ready To Move,3 BHK,Kondhwa,Amsomun,1670,3,2,59
Super built-up  Area,Ready To Move,5 BHK,Kondhwa Budruk,,1200,5,,205
Plot  Area,16-Jan,4 Bedroom,Kondhwa Khurd,Saacesa,1240,4,0,110
Built-up  Area,Ready To Move,2 BHK,Koregaon Park,AsensGa,1000,2,2,60
Super built-up  Area,Ready To Move,2 BHK,Kothrud,,830,2,2,26
Plot  Area,18-Jul,3 Bedroom,Law College Road,,1200,3,1,56.1
Plot  Area,Ready To Move,5 Bedroom,Laxmi Road,,9600,7,2,2736
Super built-up  Area,19-Aug,4 BHK,Lulla Nagar,Pruthg ,2400 - 2600,6,0,122.5
Super built-up  Area,Ready To Move,2 BHK,Mahatma Gandhi Road,RInceeg,1140,2,2,43
Super built-up  Area,Ready To Move,3 BHK,Mangalwar peth,Deens G,1635,3,3,85
Built-up  Area,Ready To Move,2 BHK,Manik Bagh,,1120,2,1,70
Plot  Area,Ready To Move,6 Bedroom,Market yard,,2750,6,3,200
Super built-up  Area,Ready To Move,3 BHK,Model colony,Saitya ,1760,3,2,185
Super built-up  Area,Ready To Move,3 BHK,Mukund Nagar,SrEndPo,2137,3,2,110
Super built-up  Area,Ready To Move,2 BHK,Mundhawa,Koagati,973,2,1,50.74
Super built-up  Area,18-Jun,3 BHK,Nagar Road,Dieldli,1724,3,1,146
Super built-up  Area,Ready To Move,2 BHK,Nana Peth,,1020,2,2,40.79
Plot  Area,Ready To Move,4 Bedroom,Narayan Peth,,1200,4,3,375
Super built-up  Area,Ready To Move,1 BHK,Narayangaon,,750,1,1,35
Super built-up  Area,Ready To Move,2 BHK,Navi Peth,Prrtht ,883,2,1,49
Built-up  Area,Ready To Move,2 Bedroom,Padmavati,,660,2,0,76
Super built-up  Area,Ready To Move,4 BHK,Parvati Darshan,DNeremo,2787,5,2,220
Built-up  Area,Ready To Move,3 BHK,Pashan,Grmes L,1470,2,3,60
Super built-up  Area,20-Apr,2 BHK,Paud Road,DSrry S,891,2,1,24.95
Built-up  Area,Ready To Move,2 BHK,Pirangut,,1275,2,1,76
Super built-up  Area,Ready To Move,3 BHK,Prabhat Road,Somumys,1787,3,2,120
Built-up  Area,Ready To Move,5 Bedroom,Pune Railway Station,,1730,5,2,75
Super built-up  Area,Ready To Move,2 BHK,Rasta Peth,Adeatlm,1320,2,2,110
Super built-up  Area,18-Aug,3 BHK,Raviwar Peth,Aroomba,1692,3,3,108
Super built-up  Area,Ready To Move,3 BHK,Sadashiv Peth,SNity S,1400,3,2,69
Super built-up  Area,Ready To Move,2 BHK,Sahakar Nagar,,1115,2,1,50
Super built-up  Area,Ready To Move,2 BHK,Salunke Vihar,Sparam ,1370,2,2,56
Super built-up  Area,18-Feb,3 BHK,Sasson Road,MNtha A,1602,3,2,56
Built-up  Area,20-Dec,1 BHK,Satara Road,,793,1,1,40
Super built-up  Area,Ready To Move,1 BHK,Senapati Bapat Road,Srg Bnc,675,1,1,35
Built-up  Area,Ready To Move,4 Bedroom,Shaniwar Peth,Theanmp,3250,4,2,136
Super built-up  Area,Ready To Move,2 BHK,Shivaji Nagar,Prarat ,1050,2,3,43
Built-up  Area,Ready To Move,2 BHK,Shukrawar Peth,Srigmsw,1035,2,1,42.5
Super built-up  Area,17-Feb,3 BHK,Sinhagad Road,MJinele,1200,2,2,44
Super built-up  Area,Ready To Move,3 BHK,Somwar Peth,Saitya ,1800,3,2,128
Built-up  Area,Ready To Move,3 BHK,Swargate,Prodsm ,1625,3,2,70
Super built-up  Area,20-Dec,2 BHK,Tilak Road,DSsicky,1032,2,1,31.99
Super built-up  Area,18-Apr,3 BHK,Uruli Devachi,Asarqz ,1496,2,1,71.81
Super built-up  Area,18-May,2 BHK,Vadgaon Budruk,,1100,2,2,38
Built-up  Area,Ready To Move,3 BHK,Wadgaon Sheri,,1500,3,2,50
Built-up  Area,18-Dec,2 BHK,Viman Nagar,Sryalan,1125,2,1,32.63
Super built-up  Area,Ready To Move,3 BHK,Vishrant Wadi,MSadeed,1555,3,3,73
Super built-up  Area,Ready To Move,2 BHK,Wagholi,Srncy R,1025,2,1,42
Super built-up  Area,19-Mar,3 BHK,Wakadewadi,Puachal,1482,2,1,83.73
Super built-up  Area,Ready To Move,3 BHK,Wanowrie,,1630,2,2,130
Super built-up  Area,Ready To Move,2 BHK,Warje,Prdowth,900,2,1,44.5
Super built-up  Area,Ready To Move,3 BHK,Yerawada,Rarthne,1355,2,3,75
Plot  Area,18-May,4 Bedroom,Alandi Road,,2360,4,2,601
Built-up  Area,Ready To Move,2 BHK,Ambegaon Budruk,,1200,2,2,45
Super built-up  Area,Ready To Move,3 BHK,Anandnagar,AritaFe,1563,3,2,63
Plot  Area,Ready To Move,4 Bedroom,Aundh,,1344,4,1,84
Super built-up  Area,Ready To Move,3 BHK,Aundh Road,,3000,3,2,400
Super built-up  Area,Ready To Move,2 BHK,Balaji Nagar,,812,2,1,42
Built-up  Area,18-Apr,2 BHK,Baner,,1200,2,1,70
Super built-up  Area,Ready To Move,4 BHK,Baner road,,3175,4,1,156
Super built-up  Area,Ready To Move,2 BHK,Bhandarkar Road,Prionad,1360,2,1,101
Super built-up  Area,Ready To Move,3 BHK,Bhavani Peth,Golmsn ,1835,3,3,88
Built-up  Area,Ready To Move,3 BHK,Bibvewadi,NRodsen,1756,3,2,110
Super built-up  Area,Ready To Move,3 BHK,Bopodi,MBodsen,1296,2,2,51.83
Super built-up  Area,Ready To Move,2 BHK,Budhwar Peth,NDionas,1300,2,1,75
Super built-up  Area,Ready To Move,2 BHK,Bund Garden Road,ViensRK,1141,2,1,50
Super built-up  Area,Ready To Move,3 BHK,Camp,,1270,2,2,50.79
Built-up  Area,Ready To Move,2 BHK,Chandan Nagar,DSgmax ,1210,2,1,55
Super built-up  Area,Ready To Move,2 BHK,Dapodi,Savar S,1310,2,2,67
Plot  Area,Ready To Move,5 Bedroom,Deccan Gymkhana,,1356,5,2,139
Super built-up  Area,18-Aug,3 BHK,Dehu Road,Vrenty ,1052 - 1322,2,0,55.195
Super built-up  Area,Ready To Move,3 BHK,Dhankawadi,MauilTr,1745,3,2,140
Plot  Area,17-Aug,5 Bedroom,Dhayari Phata,,1200,5,1,125
Super built-up  Area,Ready To Move,2 BHK,Dhole Patil Road,,1050,2,2,37
Plot  Area,Ready To Move,4 Bedroom,Erandwane,,2400,4,3,500
Super built-up  Area,18-Apr,2 BHK,Fatima Nagar,Sryalan,1140,2,1,34
Super built-up  Area,Ready To Move,2 BHK,Fergusson College Road,Vaensia,1210,2,2,54
Super built-up  Area,18-May,3 BHK,Ganesh Peth,,2035,3,2,142
Super built-up  Area,Ready To Move,1 BHK,Ganeshkhind,DSousyl,633,1,1,17.09
Built-up  Area,Ready To Move,1 BHK,Ghorpade Peth,Prowsi ,485,1,1,19.5
Super built-up  Area,Ready To Move,2 BHK,Ghorpadi,DSingSt,1112,2,2,40
Plot  Area,Ready To Move,2 Bedroom,Gokhale Nagar,,1200,2,0,82
Super built-up  Area,Ready To Move,3 BHK,Gultekdi,Adeatlm,2275,4,2,187
Super built-up  Area,Ready To Move,3 BHK,Guruwar peth,BrlonAv,1419,3,2,85
Super built-up  Area,18-Apr,2 BHK,Hadapsar,,1195,2,,42.4
Built-up  Area,Ready To Move,3 Bedroom,Hadapsar Industrial Estate,,2020,3,3,270
Super built-up  Area,Ready To Move,2 BHK,Hingne Khurd,Dieldli,1047,2,2,91
Super built-up  Area,Ready To Move,3 BHK,Jangali Maharaj Road,Soitya ,1884,4,2,117
Plot  Area,Ready To Move,3 Bedroom,Kalyani Nagar,,1200,3,2,149
Super built-up  Area,Ready To Move,2 BHK,Karve Nagar,SNity S,905,2,1,58
Super built-up  Area,Ready To Move,3 BHK,Karve Road,Brwernn,1500,2,1,108
Built-up  Area,Ready To Move,1 BHK,Kasba Peth,,850,1,0,50
Built-up  Area,18-Aug,2 BHK,Katraj,,1125,2,1,32.49
Built-up  Area,Ready To Move,2 BHK,Khadaki,,1165,2,2,59.8
